dataset,split,model,model_kind,noise_mode,noise_level,seed,n,threshold,auc,acc,mcc
SaProt10k,test,Struct-Align,struct_align,coord_noise,0.0,42,208,0.44747474747474747,0.8564956079519186,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,residue_index_shuffle,0.25,42,208,0.44747474747474747,0.8567730004623209,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,residue_index_shuffle,0.5,42,208,0.44747474747474747,0.8566805362921868,0.7692307692307693,0.5439547886674719
SaProt10k,test,Struct-Align,struct_align,residue_index_shuffle,1.0,42,208,0.44747474747474747,0.8571428571428572,0.7788461538461539,0.5618869400638729
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_noise,0.0,42,208,0.5700000000000001,0.8236708275543227,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,residue_index_shuffle,0.25,42,208,0.5700000000000001,0.8219140083217753,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,residue_index_shuffle,0.5,42,208,0.5700000000000001,0.8197873324086917,0.7163461538461539,0.44481268536284485
SaProt10k,test,Struct-Align w/o Align Loss,no_align,residue_index_shuffle,1.0,42,208,0.5700000000000001,0.820342117429496,0.7115384615384616,0.43601936467849683
