dataset,split,model,model_kind,noise_mode,noise_level,seed,n,threshold,auc,acc,mcc
SaProt10k,test,Struct-Align,struct_align,struct_view_shuffle,1.0,42,8,0.44747474747474747,1.0,0.75,0.4879500364742666
SaProt10k,test,Struct-Align w/o Align Loss,no_align,struct_view_shuffle,1.0,42,8,0.5700000000000001,1.0,0.75,0.4879500364742666
